word		onto_global			onto_domain				second_feature
婴儿辅食机        tool              None                    None
迷糊            model               None                    None
肉泥            model               None                    None
鱼泥            model               None                    None
果泥            model               None                    None
煮沸            model               None                    None
蒸煮            model               None                    None
搅拌            model               None                    None
消毒            model               None                    None
烘干            model               None                    None
酸奶            model               None                    None
果干            model               None                    None
消毒毛绒玩具            model               None                    None
消毒积木            model               None                    None
消毒毛巾            model               None                    None
消毒餐具            model               None                    None
消毒衣物            model               None                    None
消毒电子产品            model               None                    None
电视  		tool				television					None
电视机		tool				television					None
灯光			tool				light 						None
灯 			tool				light						None
电灯			tool				light 						None
台灯			tool				light 						None
吊灯			tool				light 						None
彩灯			tool				light 						None
灯泡 		tool				light 						None
月球灯		tool				light						None
氛围灯		tool				light						None
落地灯		tool				light						None
空调			tool				aircondition				None
温控器		tool				thermostat					None
取暖器 		tool				heater						None
窗			tool				window 						None
窗户			tool				window 						None
窗帘			tool				curtain 	 				None
香薰机		tool				aromamachine 				None
空气净化器 	tool				airpurifier 				None
扫地机器人 	tool				roboticvacuum 				None
扫地机 		tool				roboticvacuum 				None
加湿器		tool				humidifier					None
电茶壶 		tool				kettle 						None
电热壶		tool				kettle						None
开关			tool				switchs 					None
插座			tool				outlet 						None
排插			tool				powerstrip 					None
插排			tool				powerstrip 					None
插线板		tool				powerstrip 					None
门			tool				door 						None
入户门		tool				door 						None
防盗门		tool				door 						None
净水器		tool				waterpurifier 				None
风扇			tool 				fan							None
电风扇 		tool 				fan							None
晾衣架 		tool 				hanger						None
晾衣机 		tool 				hanger						None
机顶盒		tool				STB							None
传感器		tool				sensor						None
门磁传感器	tool				door_sensor						None
水浸传感器		tool			water_sensor					None
温湿度传感器		tool			temperature_humidity_sensor		None
PIR传感器		tool			pir_sensor						None
震动传感器		tool			vibration_sensor				None
压力传感器		tool			pressure_sensor					None
亮度传感器		tool			brightness_sensor				None
智能床		tool				smartbed					None
路由器		tool				router						None
暖奶机		tool				milkregulator				None
暖奶器       tool                milkregulator				None
豆浆机       tool                soymilkmaker                None
饮水机       tool                waterdispenser              None
电饭煲       tool                cooker                      None
烤箱			tool				oven						None
冰箱			tool				fridge						None
洗衣机		tool				washmachine					None
抽油烟机		tool				kitchenventilator			None
万能遥控器	tool				telecontroller				None
洗碗机		tool 				dishwasher					None
灭蚊器		tool				mosquitoDispeller			None
除湿机		tool				dehumidifier				None
热水器		tool				waterheater					None
新风机		tool				VMC							None
摄像头		tool				camera						None
指纹锁		tool				fingerprintlock				None
按摩椅		tool				smartchair				    None
智能椅		tool 				smartchair 					None
消毒柜		tool				disinfector				    None
沙发 		tool 				sofa 						None
头枕			tool				VirHeadSupport				None
脚托			tool				VirFootSupport				None
椅背			tool 				VirBackChair				None
浴霸			tool 				bathtyrant 					None
摇摇椅		tool				rockingChair				None
调光器		tool				rockingChair				None
调光开关		tool				rockingChair				None
音响		tool				rockingChair				None
投影仪		tool				rockingChair				None
网络盒子		tool				rockingChair				None
净化器		tool				None				None
晾衣杆		tool				None				None
音响		tool				None				None
功放		tool				None				None
门厅			room				None	 					None
大厅			room				None	 					None
玄关			room				None						None
客厅			room				None 						None
起居室		room				None	 					None
餐厅			room				None 						None
饭厅			room				None			 			None
阳台			room				None 						None
房间			room				None 						None
卧室			room				None	 					None
主卧			room				None 						None
主卧室		room				None 						None
主人房		room				None	 					None
客卧			room				None	 					None
客人房		room				None	 					None
次卧			room				None	 					None
侧卧室 		room 				None 						None
书房			room				None 						None
厨房			room				None 						None
淋浴间		room				None 						None
沐浴房		room				None 						None
浴室			room				None 						None
更衣室		room				None 						None
更衣间		room				None 						None
厕所			room				None 						None
洗手间		room				None 						None
卫生间		room				None 						None
wc			room				None 						None
主卫			room				None 						None
次卫			room				None 						None
走廊			room				None 						None
门廊			room				None 						None
过道			room				None 						None
车库			room				None 						None
储物室		room				None 						None
储藏室		room				None 						None
储物间		room				None 						None
衣柜间		room				None 						None
衣帽间		room				None 						None
天台			room				None 						None
阁楼			room				None 						None
会议室		room				None 						None
休息室		room				None 						None
楼梯			room				None 						None
红色		color_name			None					None
橙色		color_name			None					None
黄色		color_name			None					None
绿色		color_name			None					None
蓝色		color_name			None					None
青色		color_name			None					None
紫色		color_name			None					None
灰色		color_name			None					None
粉色		color_name			None					None
黑色		color_name			None					None
白色		color_name			None					None
棕色		color_name			None					None
冷白		color_temperature			None					None
暖白		color_temperature			None					None
火柴光		color_temperature			None					None
蜡烛光		color_temperature			None					None
月光		color_temperature			None					None
浅黄光		color_temperature			None					None
日光		color_temperature			None					None
白光		color_temperature			None					None
自动		model			None					None
睡眠		model			None					None
标准		model			None					None
强力		model			None					None
静音		model			None					None
低风		model			None					None
中风		model			None					None
高风		model			None					None
制冷		model			None					None
制热		model			None					None
通风		model			None					None
送风		model			None					None
除湿		model			None					None
影院		model			None					None
电影		model			None					None
生活		model			None					None
手动		model			None					None
省电		model			None					None
正常风		model			None					None
自然风		model			None					None
睡眠风		model			None					None
静音风		model			None					None
阅读		model			None					None
舒适风		model			None					None
宝宝风		model			None					None
棉织物		model			None					None
化纤		model			None					None
羊毛		model			None					None
除菌		model			None					None
筒清洁		model			None					None
丝绸		model			None					None
假日		model			None					None
智能		model			None					None
音乐		model			None					None
零重力		model			None					None
止鼾		model			None					None
多人		model			None					None
摇摆		model			None					None
强效		model			None					None
普通		model			None					None
轻柔		model			None					None
间隔		model			None					None
间歇		model			None					None
持续		model			None					None
连续		model			None					None
工作		model			None					None
速冷		model			None					None
速冻		model			None					None
微干		model			None					None
低湿		model			None					None
高湿		model			None					None
全干		model			None					None
超干		model			None					None
夏季		model			None					None
冬季		model			None					None
快洗		model			None					None
婴童洗		model			None					None
单脱水		model			None					None
节能洗		model			None					None
晚安		model			None					None
聚会		model			None					None
休闲		model			None					None
柔光		model			None					None
缤纷		model			None					None
炫彩		model			None					None
斑斓		model			None					None
流水		model			None					None
快闪		model			None					None
慢闪		model			None					None
除花粉		model			None					None
自动回充		model			None					None
回充		model			None					None
待机		model			None					None
随机		model			None					None
沿边清扫		model			None					None
拖地		model			None					None
定点清扫		model			None					None
左螺旋		model			None					None
右螺旋		model			None					None
右弓字		model			None					None
左弓字		model			None					None
局部弓字		model			None					None
前		model			None					None
后		model			None					None
左		model			None					None
右		model			None					None
坐姿		model			None					None
平躺		model			None					None
躺姿		model			None					None
女性健康		model			None					None
男性健康		model			None					None
老年养生		model			None					None
安睡助眠		model			None					None
颈肩放松		model			None					None
背部舒展		model			None					None
腰部呵护		model			None					None
美臀塑性		model			None					None
敲打		model			None					None
揉捏		model			None					None
揉敲		model			None					None
指压		model			None					None
推拿		model			None					None
强暖		model			None					None
弱暖		model			None					None
取暖		model			None					None
热干燥		model			None					None
冷干燥		model			None					None
CCTV1				channel_name				CCTV-1				channel
CCTV一				channel_name				CCTV-1				channel
中央一台				channel_name				CCTV-1				channel
中央一套				channel_name				CCTV-1				channel
央视一台				channel_name				CCTV-1				channel
央视一套				channel_name				CCTV-1				channel
央视综合    			channel_name				CCTV-1				channel
CCTV2				channel_name				CCTV-2				channel
中央2台				channel_name				CCTV-2				channel
中央2套				channel_name				CCTV-2				channel
央视2台				channel_name				CCTV-2				channel
央视2套				channel_name				CCTV-2				channel
央视财经    			channel_name				CCTV-2				channel
CCTV3				channel_name				CCTV-3				channel
中央3台				channel_name				CCTV-3				channel
中央3套				channel_name				CCTV-3				channel
央视3台				channel_name				CCTV-3				channel
央视3套				channel_name				CCTV-3				channel
央视综艺    			channel_name				CCTV-3				channel
CCTV4				channel_name				CCTV-4				channel
中央4台				channel_name				CCTV-4				channel
中央4套				channel_name				CCTV-4				channel
央视4台				channel_name				CCTV-4				channel
央视4套				channel_name				CCTV-4				channel
央视国际    			channel_name				CCTV-4				channel
CCTV5				channel_name				CCTV-5				channel
中央5套				channel_name				CCTV-5				channel
中央5台				channel_name				CCTV-5				channel
央视5套				channel_name				CCTV-5				channel
央视5台				channel_name				CCTV-5				channel
央视体育    			channel_name				CCTV-5				channel
CCTV6				channel_name				CCTV-6				channel
中央6台				channel_name				CCTV-6				channel
中央6套				channel_name				CCTV-6				channel
央视6台				channel_name				CCTV-6				channel
央视6套				channel_name				CCTV-6				channel
央视影视		    	channel_name				CCTV-6				channel
中央影视    			channel_name				CCTV-6				channel
CCTV7				channel_name				CCTV-7				channel
中央7台				channel_name				CCTV-7				channel
中央7套				channel_name				CCTV-7				channel
央视7台				channel_name				CCTV-7				channel
央视7套				channel_name				CCTV-7				channel
央视农业    			channel_name				CCTV-7				channel
CCTV8				channel_name				CCTV-8				channel
中央8台 		        channel_name				CCTV-8 				channel
中央8套		        channel_name				CCTV-8 				channel
央视8台		        channel_name				CCTV-8 				channel
央视8套		        channel_name				CCTV-8 				channel
CCTV9				channel_name				CCTV-9				channel
中央9套				channel_name				CCTV-9				channel
中央9台				channel_name				CCTV-9				channel
央视9套				channel_name				CCTV-9				channel
央视9台				channel_name				CCTV-9				channel
央视记录    			channel_name				CCTV-9				channel
中央记录    			channel_name				CCTV-9				channel
CCTV10				channel_name				CCTV-10				channel
中央10台				channel_name				CCTV-10				channel
中央10套				channel_name				CCTV-10				channel
央视10台				channel_name				CCTV-10				channel
央视10套				channel_name				CCTV-10				channel
央视科教    			channel_name				CCTV-10				channel
CCTV11				channel_name				CCTV-11				channel
中央11套				channel_name				CCTV-11				channel
中央11台				channel_name				CCTV-11				channel
央视11套				channel_name				CCTV-11				channel
央视11台				channel_name				CCTV-11				channel
中央戏曲             channel_name				    CCTV-11				channel
央视戏曲             channel_name				    CCTV-11				channel
CCTV12				channel_name				CCTV-12				channel
中央12套				channel_name				CCTV-12				channel
央视12套				channel_name				CCTV-12				channel
中央12台				channel_name				CCTV-12				channel
央视12台				channel_name				CCTV-12				channel
CCTV13				channel_name				CCTV-13				channel
中央13套				channel_name				CCTV-13				channel
央视13套				channel_name				CCTV-13				channel
中央13台				channel_name				CCTV-13				channel
央视13台				channel_name				CCTV-13				channel
CCTV新闻				channel_name				CCTV-13 			channel
央视新闻    			channel_name				CCTV-13 			channel
中央新闻    			channel_name				CCTV-13 			channel
CCTV14				channel_name				CCTV-14				channel
中央14套				channel_name				CCTV-14				channel
央视14套				channel_name				CCTV-14				channel
中央14台				channel_name				CCTV-14				channel
央视14台				channel_name				CCTV-14				channel
CCTV少儿				channel_name				CCTV-14 			channel
央视少儿    			channel_name				CCTV-14 			channel
中央少儿    			channel_name				CCTV-14 			channel
CCTV15				channel_name				CCTV-15				channel
中央15套				channel_name				CCTV-15				channel
央视15套				channel_name				CCTV-15				channel
中央15台				channel_name				CCTV-15				channel
央视15台				channel_name				CCTV-15				channel
CCTV音乐				channel_name				CCTV-15 			channel
央视音乐				channel_name				CCTV-15 			channel
中央音乐    			channel_name				CCTV-15 			channel
CCTVNEWS			channel_name				CCTV-NEWS			channel
CCTV1高清			channel_name				CCTV-1高清			channel
CCTV一高清			channel_name				CCTV-1高清			channel
中央一台高清			channel_name				CCTV-1高清			channel
中央一套高清			channel_name				CCTV-1高清			channel
央视一台高清			channel_name				CCTV-1高清			channel
央视一套高清			channel_name				CCTV-1高清			channel
CCTV2高清			channel_name				CCTV-2高清			channel
中央2台高清			channel_name				CCTV-2高清			channel
中央2套高清			channel_name				CCTV-2高清			channel
央视2台高清			channel_name				CCTV-2高清			channel
央视2套高清			channel_name				CCTV-2高清			channel
CCTV3高清			channel_name				CCTV-3高清				channel
中央3台高清			channel_name				CCTV-3高清				channel
中央3套高清			channel_name				CCTV-3高清				channel
央视3台高清			channel_name				CCTV-3高清				channel
央视3套高清			channel_name				CCTV-3高清				channel
CCTV4高清			channel_name				CCTV-4高清				channel
中央4台高清			channel_name				CCTV-4高清				channel
中央4套高清			channel_name				CCTV-4高清				channel
央视4台高清			channel_name				CCTV-4高清				channel
央视4套高清			channel_name				CCTV-4高清				channel
CCTV5高清			channel_name				CCTV-5高清				channel
中央5台高清			channel_name				CCTV-5高清				channel
中央5套高清			channel_name				CCTV-5高清				channel
央视5台高清			channel_name				CCTV-5高清				channel
央视5套高清			channel_name				CCTV-5高清				channel
CCTV6高清			channel_name				CCTV-6高清				channel
中央6台高清			channel_name				CCTV-6高清				channel
中央6套高清			channel_name				CCTV-6高清				channel
央视6台高清			channel_name				CCTV-6高清				channel
央视6套高清			channel_name				CCTV-6高清				channel
CCTV7高清			channel_name				CCTV-7高清				channel
中央7台高清			channel_name				CCTV-7高清				channel
中央7套高清			channel_name				CCTV-7高清				channel
央视7台高清			channel_name				CCTV-7高清				channel
央视7套高清			channel_name				CCTV-7高清				channel
CCTV8高清			channel_name				CCTV-8高清				channel
中央8台高清			channel_name				CCTV-8高清				channel
中央8套高清			channel_name				CCTV-8高清				channel
央视8台高清			channel_name				CCTV-8高清				channel
央视8套高清			channel_name				CCTV-8高清				channel
CCTV9高清			channel_name				CCTV-9高清				channel
中央9台高清			channel_name				CCTV-9高清				channel
中央9套高清			channel_name				CCTV-9高清				channel
央视9台高清			channel_name				CCTV-9高清				channel
央视9套高清			channel_name				CCTV-9高清				channel
CCTV10高清			channel_name				CCTV-10高清				channel
中央10台高清			channel_name				CCTV-10高清				channel
中央10套高清			channel_name				CCTV-10高清				channel
央视10台高清			channel_name				CCTV-10高清				channel
央视10套高清			channel_name				CCTV-10高清				channel
CCTV11高清			channel_name				CCTV-11高清				channel
中央11台高清			channel_name				CCTV-11高清				channel
中央11套高清			channel_name				CCTV-11高清				channel
央视11台高清			channel_name				CCTV-11高清				channel
央视11套高清			channel_name				CCTV-11高清				channel
CCTV12高清			channel_name				CCTV-12高清				channel
中央12台高清			channel_name				CCTV-12高清				channel
中央12套高清			channel_name				CCTV-12高清				channel
央视12台高清			channel_name				CCTV-12高清				channel
